0;2.918134;1.799149
1;2.508819;1.750082
2;2.238091;1.750082
3;1.977855;1.668302
4;1.879573;1.815505
5;1.674911;1.766438
6;1.550280;1.684658
7;1.513641;1.750082
8;1.340716;1.782794
9;1.202932;1.815505
10;0.991302;1.717370
11;0.937103;1.750082
12;0.896923;1.701014
13;0.872247;1.717370
14;0.822964;1.668302
15;0.772197;1.701014
16;0.721329;1.701014
17;0.738722;1.651946
18;0.687777;1.668302
19;0.647252;1.668302
20;0.653562;1.717370
21;0.643653;1.651946
22;0.644425;1.684658
23;0.612364;1.717370
24;0.561740;1.717370
25;0.534666;1.717370
26;0.551433;1.701014
27;0.568655;1.733726
28;0.518179;1.701014
29;0.520713;1.733726
30;0.537582;1.750082
31;0.505598;1.733726
32;0.497171;1.750082
33;0.506217;1.733726
34;0.497892;1.684658
35;0.475345;1.684658
36;0.490278;1.668302
37;0.530732;1.684658
38;0.510023;1.684658
